videoid,name,page_idx,page_dir,duration,contentUrl
100001,"an aerial view of a city at night, the city including buildings, lights, a parking lot and a street.",,,,
100002,"a night view of a city with a large building and a clock tower, the building and the tower have lights on them",,,,
100003,"an aerial and panoramic view of a city from a plane, the city including a mosque, a large building, and tall buildings.",,,,
100004,"an aerial view of a city with a clock tower, the city also includes tall buildings.",,,,
100005,a group of people sitting on the floor of a building.,,,,
100006,an aerial view of a city with tall buildings and a mosque.,,,,
100007,"an aerial view of a city at night, the city including an airport",,,,
100008,"a panoramic aerial view of a dirt field with a sky background, including a dirt road and trees.",,,,
100009,"a panoramic view of a field and desert at sunset, with the sun setting in the middle and a sky in the background.",,,,
100010,"a panoramic aerial view of a field with a river running through it, the field surrounded by a forest",,,,
100011,a panoramic view of a large open field with a river running through it.,,,,
100012,"a panoramic aerial view of a colorful landscape, the landscape includes a lake surrounded by a mountain range, with clouds in the sky.",,,,
100013,"a panoramic aerial view of a river with steam coming out of it in the middle of a field, including a mountain in the background and a body of water.",,,,
100014,"a panoramic view of a large body of water, likely a river, running through a wide open field, the scene is surrounded by mountains.",,,,
100015,a large body of water surrounded by mountains and a lush green field,,,,
100016,an aerial view of a wide open field transitioning into a desert with a mountain in the background and a river running through it.,,,,
100017,"an aerial view of a field surrounded by a mountain range, including a lake in the foreground and mountains in the background.",,,,
100018,"a panoramic aerial view of a city with tall buildings, a river, a bridge and a building",,,,
100019,an aerial and panoramic view of a city at night,,,,
100020,"a panoramic view at sunset, featuring a large building with a clock tower, surrounded by parking lots, trees, and a waterway.",,,,
100021,"a panoramic aerial view of a city with a tall tower and a park, as seen from a plane",,,,
100022,"a fireworks display over a blurry city at night, visible from an aerial view.",,,,
100023,"a view of a city at night from the top of a building, the city is blurry with a parking lot filled with lots of parked cars and a busy street.",,,,
100024,"a panoramic and aerial view of a city at sunset, the city having tall buildings and snow on the ground.",,,,
100025,"a panoramic aerial view of a city in winter, the city including a church, a river, and tall buildings.",,,,
100026,"an aerial view of a city with a river running through it, the river including a boat and boats.",,,,
100027,"a large fountain in a city park where the sun shines brightly, with people standing around and a bridge in the background, the scene also includes people walking down a street next to a tall building.",,,,
100028,"an aerial and panoramic view of a large city with a green-roofed building, a river, and a bridge.",,,,
100029,"an aerial panoramic view of a large white and gold city with a river running through it, the city includes a building with a cross and gold domes on top of it.",,,,
100030,"an aerial view of a city at night, the city includes a bridge over a body of water.",,,,
100031,"an aerial and panoramic view of a city with a bridge over a large body of water, including a river.",,,,
100032,"a panoramic aerial view of a city with a soccer stadium, a river, and a bridge over the river.",,,,
100033,"a panoramic and aerial view of a stadium with a baseball field, where a river runs through it, against a sky background.",,,,
100034,"a panoramic and aerial view of a soccer stadium with the water and the sky in the background, viewed from the top of a building.",,,,
100035,"an aerial view of a Volgograd stadium near a large body of water, with a bridge and a beach in the vicinity.",,,,
100036,"an aerial view of a city with an airport at night, the city view is partially blurry",,,,
100037,"an aerial view of a city with a stadium, a beach, and a body of water, the city including lots of buildings, the ocean with the word Sochi on it is also visible.",,,,
100038,an aerial view of a city with a stadium at night,,,,
100039,an aerial and panoramic view of a city at sunset with a lake in the background,,,,
100040,"a large group of fish swimming in the ocean, with a boat in the middle of the large body of water, and an underwater view of a coral reef with the word airpano over it.",,,,
100041,"a large group of fish swimming in the ocean over a coral reef, with a person swimming with a scuba mask on",,,,
100042,a man in a scuba suit is surrounded by a large group of fish swimming in the ocean,,,,
100043,"an underwater view of the ocean full of bubbles, with large groups of fish swimming both in the ocean and an aquarium.",,,,
100044,"a large group of fish, including a school, swimming in the blue ocean with a man and a boat in the water.",,,,
100045,"a view from the top of a cliff showcasing a waterfall, a plane flying over a lush green hillside, a very tall mountain and an aerial view of a mountain range under a blue sky with clouds.",,,,
100046,"an aerial view of a bird flying over a waterfall, the top of a mountain, the ocean, land, and a plane flying over a lush green hillside.",,,,
100047,"an aerial view of a waterfall in the mountains, with birds flying over the lush green hillside and field under a blue sky.",,,,
100048,"a blurry photo of an ice cave with the word alpaco on it, the cave filled with lots of ice formations hanging from the ceiling, including a view of the ocean.",,,,
100049,"a picture of a person standing in an ice cave in the middle of a frozen lake, with a large iceberg in the ocean, a building with ice on the ground, and the word airpano over it.",,,,
100050,"an aerial view of a sunny scene with snow covered mountains, clouds, icebergs in the water, and ice floes.",,,,
100051,"a blurry photo of a man walking through a building with ice on the walls and icicles hanging from the ceiling, the building resembling an ice cave, with a snow covered ground.",,,,
100052,"a large iceberg floating in the middle of a large body of water, with the ocean and sky in the background",,,,
100053,"a large body of water sitting under a blue sky, viewed aerially.",,,,
100054,a computer generated image of a boat traveling across a large body of water with icebergs and a sky in the background.,,,,
100055,"a view of a group of people and a man driving a boat on the ocean, the boat includes a room with a bed and a table.",,,,
100056,"a view from inside a plane of a man wearing headphones in the cockpit, a person riding a boat and a group of people riding in the back of a helicopter over the ocean.",,,,
100057,"an aerial view from a plane or helicopter over a large body of water, including the ocean with ice floes.",,,,
100058,"a picture of a man swimming in the ocean with a lot of jellyfish and a camera, the ocean including a body of water and a jellyfish.",,,,
100059,a blurry photo of a person and a man swimming in a large body of ocean with a jellyfish.,,,,
100060,"an underwater view of the ocean with a person in a wet suit diving and swimming, a jellyfish, and a blurry photo of a boat in the water.",,,,
100061,"a blurry photo of a person swimming in a large body of water with a scuba mask on, including a boat in the water.",,,,
100062,"a blurry photo of a green ocean with a person swimming, a boat in the water, and the words airpano.",,,,
100063,a blurry photo of a man in a wet suit riding a wave on top of a surfboard in a large body of water.,,,,
100064,a snow covered mountain under a blue sky with the sun shining over it.,,,,
100065,a snowboarder is going down a snow covered mountain with a bright sun in the sky,,,,
100066,"a man standing on top of a snow covered mountain range, with the sun shining over it, as seen from an aerial view.",,,,
100067,"a panorama and 3D image of a grassy field with a mountain in the background, including a wind turbine in the foreground.",,,,
100068,"an aerial view of a lush green forest in a valley with mountains in the background, a man riding a zip line over the forest, and a mountain with a cable car.",,,,
100069,"a 3D image of a river running through a valley surrounded by mountains, the river with rocks and grass, and a mountain in the background",,,,
100070,"a wide angle aerial view of a mountainous landscape featuring a dirt road, rocks, grass and a river running through a valley.",,,,
100071,"a room with a group of people standing next to a fireplace, a cat laying on a rug in the room, the cat is black and white.",,,,
100072,"The output would be: a man standing in a room with a green cabinet, a cat in front of a fish tank, a gray cat sitting on top of a counter, and a cat sitting on top of a chair.",,,,
100073,"a blurry photo of a person standing in a restaurant with a rug on the floor, a dog in the room, a cat on a table",,,,
100074,"a blurry image of a man walking through a room with bookshelves, the room containing two dogs, a chair, and a laptop computer sitting on top of a rug.",,,,
100075,"a photo capturing a man standing and a woman sitting at a wooden table, with a cat in a basket and a potted plant on the table.",,,,
100076,"a man standing in a living room with a red rug, a table, chairs, a cat sitting on a chair, and a dog on a leash.",,,,
100077,"a computer generated image of a view from a plane over a large body of ocean, featuring a mountain, a boat, and views from both the boat and the plane.",,,,
100078,an aerial view from a plane flying over a large body of ocean water.,,,,
100079,"an image of the ocean viewed from a plane, with the sun shining brightly over the water and a computer-generated boat in the ocean.",,,,
100080,"a view of the sun shining through ice formations in the snow on the water, including a polar bear standing on top of an ice floe and a painting of ice and snow on a wall.",,,,
100081,"a computer generated image of a long stretch of snow covered ground next to a beach, with the sun shining over the ocean under a blue sky",,,,
100082,"a person standing on top of a snow covered mountain, flying a kite on a snowy beach, with views of the ocean from a boat in the water and a body of water with mountains in the background.",,,,
100083,"a panoramic view of a large cliff covered in snow next to a body of water, including a snow covered field, a snow covered beach and a snow covered landscape.",,,,
100084,a view of a boat floating on a large body of water with mountains and sky in the background,,,,
100085,"a large body of water covered in ice and snow, with a boat traveling through it on a cloudy day.",,,,
100086,"a panoramic view of a snow-covered landscape, including a beach with a cliff in the background, a large body of water, and a polar bear standing in the snow on a cloudy day.",,,,
100087,"a view of a large body of water, possibly the ocean, from a boat under a cloudy sky.",,,,
100088,"a view of the ocean with a body of water and a mountain in the background, as seen from a plane and a boat on a sunny day.",,,,
100089,"a large expanse of a snow covered beach next to the ocean with a mountain side, trees, rocks and a sky in the background.",,,,
100090,"a computer generated image of a large body of water covered in ice with a boat traveling through it, under the shining sun",,,,
100091,"a sunny day view from a boat, with a large body of water, a snow covered mountain with a snowboarder in the foreground, and a 3d image of a beach with a mountain in the background.",,,,
100092,"a wide shot of a group of people standing on a snow-covered beach slope, a snowboarder going down the hill, and a large amount of ice floating on the body of water.",,,,
100093,"a group of people standing on top of a snow covered slope and a frozen lake, with a view of the ocean from a boat and a 3d image of a beach with a mountain in the background.",,,,
100094,"a computer generated view of the ocean from a plane, including a boat in the distance and mountains in the background.",,,,
100095,"an ice cave with a view of the ocean and icicles hanging from the ceiling, featuring a group of ice formations.",,,,
100096,"a picture of a group of people standing on top of an ice covered body of water, including a person in the water and a frozen lake.",,,,
100097,"a computer generated panoramic view of the ocean from a boat, the ocean being a large body of water with a sky in the background",,,,
100098,"a view of a city and a blurry bridge from the water, a bench sitting next to the dock.",,,,
100099,"a panoramic view of a group of people sitting on a beach next to a large body of water, the beach has a bunch of boats in it and a bridge in the background",,,,
100100,"a blurry photo of a city street with people walking down it, cars, tall buildings and a statue of a man in front of a building.",,,,
100101,an aerial view of a city with tall buildings at sunset transitioning to night.,,,,
100102,"an aerial view of a city by the ocean at dusk, the city surrounded by a large body of water.",,,,
100103,"an aerial view of a city at sunset and at night, the city including a body of water.",,,,
100104,"an aerial view of a city at night and at sunset, the city is near a large body of water with a sky background.",,,,
100105,"an aerial and panoramic view of a city at night, the city is located near a large body of water.",,,,
100106,an aerial view of a city at night.,,,,
100107,an aerial view of a city at night.,,,,
100108,"a blurry photo of a busy city street at night, filled with lots of people, tall buildings, and traffic.",,,,
100109,"a view of a city at night from a distance and from the top of a building, including an aerial view.",,,,
100110,a panoramic and aerial view of a city at night,,,,
100111,"a large display of colorful lights in a city at night, with a group of people standing under a lit up arch, around a building on a street.",,,,
100112,"a crowd of people walking down a street at night, next to tall buildings, with large groups of people standing in and around a building.",,,,
100113,"a large group of people walking through a city environment including a mall, a building, and a street with tall buildings.",,,,
100114,"a large group of people walking across a bridge, down a street next to a very large and tall building with a tower in the background.",,,,
100115,"a view of a large body of water next to a city, with a group of people walking across a parking lot in the background.",,,,
100116,"a panoramic and aerial view of a city at night, the city including a river running through and next to tall buildings.",,,,
100117,"a panoramic and aerial view of a city at night, the city with a lot of tall buildings, viewed from across the water.",,,,
100118,an aerial view of a city at night with a large body of water in the background.,,,,
100119,"a group of people walking down a street across a cross walk, the street is next to tall buildings.",,,,
100120,a busy city street filled with lots of people walking across and down the street next to tall buildings.,,,,
100121,a crowd of people walking across a cross walk on a street at night.,,,,
100122,"a crowd of people walking across a street at night, the street being a crosswalk next to tall buildings, with a man standing in front of the crowd.",,,,
100123,"a city street at night filled with a crowd of people crossing and walking, holding umbrellas",,,,
100124,"an aerial panoramic view of a landscape including a waterfall in the middle of a river, a body of water with a sky in the background, and trees.",,,,
100125,"a bird-eye view of a large waterfall with a rainbow in the sky, the scene including a cliff with trees and water, and a group of people standing in a field in the distance.",,,,
100126,"a view from a boat and an aerial view of a body of water including a river, with a sky background.",,,,
100127,"a panoramic aerial view of a canyon with a river running through it, featuring a man flying through the air while riding both a surfboard and a kiteboard.",,,,
100128,"an aerial view of a cliff with a bridge over a river, a waterfall surrounded by trees, and a man riding a skateboard down the side of the cliff.",,,,
100129,a view from a boat of a man riding a surfboard on a river near a rocky beach.,,,,
100130,"a group of people, including a man, riding on the back of a yellow raft and a surfboard down a river, with a view of the ocean from a boat.",,,,
100131,"an aerial and panoramic view of a landscape, featuring a road near a waterfall, a body of water surrounded by land, a field with a sky background, and a river running through a canyon.",,,,
100132,"an aerial view of a river with a waterfall, the scene includes a blurry sky in the background and is surrounded by land.",,,,
100133,"a panoramic and aerial view of a large waterfall with a rainbow in the sky, the waterfall is in the middle of a river with rapids, and a field nearby.",,,,
100134,"an aerial view of a desert with a mountain and sky in the background, including a computer generated image of the landscape",,,,
100135,"a computer generated 3D image of a desert landscape with a rocky outcropping, under a setting sun.",,,,
100136,a panoramic and 3D view of a rocky mountain range including a man riding a surfboard on top of a cliff and a canyon in the desert.,,,,
100137,"a 3D image of a desert with mountains, rocks, sand, and a sky background",,,,
100138,a panoramic view of a large rock and a computer generated pyramid in the desert landscape under a blue sky with clouds.,,,,
100139,"a 3D panoramic image of a desert landscape taken from a vehicle, the desert including a building in the middle of it and a jeep driving through it.",,,,
100140,"a panoramic and aerial view of a desert with rocks, sand and a blue sky.",,,,
100141,"a 3D image of a desert landscape with an aerial view, the desert including rocks, sand in the foreground, a sky background, and a mountain in the background.",,,,
100142,"a panoramic and 3D view of a desert landscape from a high point, featuring a blue sky in the background and a dirt road.",,,,
100143,"a panoramic 3D view of a desert landscape, featuring a rocky outcropping and cliff, sand in the foreground, and a mountain in the background.",,,,
100144,a computer generated aerial view of a desert landscape at sunset.,,,,
100145,"a panoramic and 3D view of a desert landscape with rocks, sand and a mountain, the scene also includes a blurry and rocky mountain against a sky background.",,,,
100146,"a panoramic picture of a desert with a dirt road, rocks, sand, and a mountain in the background.",,,,
100147,"a 3d image of a desert landscape with mountains in the distance, including rocks and sand, adjacent to a sandy beach with a few parked cars and a rock formation in the background",,,,
100148,"a computer generated image of a desert landscape with rocks and a mountain in the distance, the image might appear blurry.",,,,
100149,"an aerial view of a field with a wind turbine and a windmill in the distance, the field being part of a farm land under a blue sky.",,,,
100150,"an aerial view of a river running through a green field with a wind turbine and windmills, including a blurry sight of a truck in the field.",,,,
100151,"a large field full of red flowers under a cloudy sky, with a group of people walking down a sidewalk next to it.",,,,
100152,"an aerial view of a large farm field under a cloudy sky, the field including green grass, flowers, crops, and people in it.",,,,
100153,"an aerial view of a farm field with a wind turbine and a windmill, with a blue sky in the background",,,,
100154,"an aerial view of a large farm land in the country, the farm including a field of crops, a wind farm, and a field of flowers, with a blue sky in the background.",,,,
100155,"an aerial view of a farm field with a river and a windmill, the field also including flowers.",,,,
100156,"an aerial view of a farm field with windmills and a wind turbine in the background, the field including flowers and tulips.",,,,
100157,a large field full of red flowers under a mixture of blue and cloudy sky.,,,,
100158,"a sandy beach with footprints in the sand, a woman walking along the beach next to the ocean, and the sun shining on the beach with clear water.",,,,
100159,"a blurry photo of the ocean with waves and a kite in the air, featuring a small helicopter and a plane flying over the water",,,,
100160,an aerial view of a coral reef in the ocean with a blue helicopter and a plane flying over it.,,,,
100161,"an aerial view of a large body of water with a sandy beach, featuring a helicopter and a small plane flying over.",,,,
100162,"a view of the ocean from a plane, featuring a blue helicopter flying over the water under a blue sky, and a plane flying over the large body of water.",,,,
100163,"an aerial view from a helicopter of a sandy beach with blue water, a large body of water with a small island in the middle of it, and a plane flying over it.",,,,
100164,"a plane and a helicopter flying over a large body of water on a sunny day, including an aerial view of an island in the middle of the ocean.",,,,
100165,a view of the ocean from a wooden pier with a red helicopter sitting on top.,,,,
100166,a view of the ocean from a small blue plane flying over a sandy beach and a body of water.,,,,
100167,"an aerial view of a large body of water on a sunny day, including a blurry photo of the ocean and sky, with a helicopter and a small plane flying over it.",,,,
100168,"a man flying a plane over a large body of water, the scene including a bird flying and a small airplane in the blue sky.",,,,
100169,"a view of the ocean with the sun shining over the water, two sightings of a red helicopter flying over the water as seen from a boat.",,,,
100170,"a panoramic view of a beach and ocean with the sun shining, featuring a red helicopter flying over the sandy beach next to the water.",,,,
100171,"a computer generated image of a man in a desert, the landscape includes a mountain, rocks, a stream under a cloudy sky, and a rocky area.",,,,
100172,"a computer generated 3D image of a man standing in front of a gate under a cloudy sky, with a mountain, rocks, and a body of water in the surroundings.",,,,
100173,"a screenshot of a man walking through a computer-generated image of a rocky cave landscape, with a cliff and sky in the background.",,,,
100174,"a 3D computer generated image of a rocky desert landscape with a cloudy sky, a dirt road, a person standing and a red object sitting on a rocky hill.",,,,
100175,"a view of a couple of people standing on top of a desert area, including a dirt field and rocky mountains, with a dark and cloudy sky in the background.",,,,
100176,a computer generated image of a man kneeling down and another man riding a bike in a rocky landscape,,,,
100177,a computer generated image of a sci-fi scene with a rocky landscape,,,,
100178,"a computer generated panoramic view of a rocky landscape, including rocks and dirt.",,,,
100179,"a computer generated image of a man standing on a rocky terrain, including a dirt field and landscape.",,,,
100180,a computer generated image of a desert landscape,,,,
100181,a computer generated image of a desert landscape.,,,,
100182,a computer generated image of a desert landscape.,,,,
100183,a 3D computer generated image of a rocky landscape with a sky background.,,,,
100184,a computer generated image of a rocky landscape featuring a rock formation.,,,,
100185,a computer generated image of a desert landscape,,,,
100186,"a group of people, including a man, walking around and in front of a large, tall building and down a street.",,,,
100187,a view of a large white building with a golden dome and a green roof,,,,
100188,"a panoramic view of a large white and gold building with a cross on top, a green roof, and a sky background, located in a city with a river running through it",,,,
100189,a panoramic aerial view of a large white building in a city with a river running through it.,,,,
100190,"a wide, blurry shot of a city at night, the scene includes a city street, a city skyline and a boat floating on a body of water.",,,,
100191,"an aerial view of a city with a large white building having a green roof, a river running through it",,,,
100192,"a blurry photo of a large building with a red star on top, located in a city viewed at night from an aerial perspective.",,,,
100193,"an aerial and panoramic view of a city with a clock tower, a large building, and a train on the tracks.",,,,
100194,"an aerial and panoramic view of a large city with a carnival ride having a star on top, tall buildings, and a large clock tower.",,,,
100195,a blurry aerial view of a city at night,,,,
100196,"a 3D image of a large cannon sitting in front of a building with a clock tower, a sign that says airpano vr production, and a street in the background.",,,,
100197,"a panoramic and aerial view of a city with large white and gold buildings, including a building with two towers.",,,,
100198,an aerial view of a city at dusk with a red star on top of a building,,,,
100199,a group of people walking down a street next to and around tall buildings,,,,
100200,"an aerial view of a city with tall buildings, featuring a helicopter and an airplane flying over it.",,,,
100201,a panoramic and aerial view of a city with tall buildings at sunset.,,,,
100202,"a busy city street filled with lots of people, the street including a red truck driving down next to tall buildings",,,,
100203,"a panoramic and aerial view of a large city with tall buildings and a river running through it, as well as a body of water.",,,,
100204,"an aerial view of a city at sunset, with a plane and a man in a helicopter flying over it, and a large body of water",,,,
100205,an aerial and panoramic view of a city at night.,,,,
100206,an aerial and panoramic view of a city at night,,,,
100207,"a blurry picture of a busy city at night with lots of traffic, a crowd of people walking around the city, and busy city streets.",,,,
100208,a panoramic aerial view of a city at night.,,,,
100209,an aerial and panoramic view of a city at night.,,,,
100210,"an aerial view of a river running through a canyon, the view including a waterfall with a rainbow in the background, a field with trees and land.",,,,
100211,"an aerial view of a landscape featuring a waterfall in the middle of a field, a body of water surrounded by land, a forest under a blue sky, and a waterfall in the middle of a river.",,,,
100212,"an aerial view of a waterfall in the middle of a field, surrounded by a body of water, a forest, a bridge and a river.",,,,
